                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.275,                 1.8256,                 1.3045,                0.56514,                0.06878,                 0.0752,                0.05704,                0.78687,                 1.8358,                 1.0062,              0.0004078,              0.0004078,              0.0004078
                      2,                    1.3,                 1.2389,                 1.3227,                0.51096,                0.70873,                0.55117,                 0.4129,                0.96589,                 1.9319,                  1.137,             0.00080814,             0.00080814,             0.00080814
                      1,                 1.3269,                 2.1611,                 1.3377,                0.39539,                0.06878,                0.05797,                0.05382,                0.78798,                 1.4221,                 1.0213,              0.0004078,              0.0004078,              0.0004078
                      2,                 1.3926,                 1.4176,                 1.3474,                0.39954,                0.51383,                0.49578,                0.34682,                 1.0776,                 1.3405,                  1.179,             0.00074285,             0.00074285,             0.00074285
                      3,                 1.3807,                 1.2674,                 1.3377,                0.69811,                0.54844,                0.49323,                0.28156,                  1.219,                 2.0025,                 1.2464,             0.00099539,             0.00099539,             0.00099539
                      4,                 1.4054,                 1.2493,                 1.3712,                0.49955,                0.87302,                0.56556,                 0.3935,                0.90131,                 1.2931,                  1.077,             0.00087875,             0.00087875,             0.00087875
                      5,                 1.3433,                  1.147,                 1.3268,                0.45327,                0.92593,                0.56984,                0.42985,                0.89302,                 0.8741,                  1.066,             0.00087875,             0.00087875,             0.00087875
                      6,                  1.288,                 1.0313,                 1.2828,                0.82465,                0.53091,                0.59956,                0.47127,                0.85331,                0.84624,                 1.0252,               0.000755,               0.000755,               0.000755
                      7,                 1.2442,                 0.9766,                 1.2649,                0.62454,                0.93224,                0.67099,                0.49882,                0.81788,                0.69473,                 1.0117,             0.00063125,             0.00063125,             0.00063125
                      8,                 1.2174,                0.92256,                 1.2497,                0.49052,                0.92593,                0.65937,                0.51968,                0.75852,                0.66581,                 1.0047,              0.0005075,              0.0005075,              0.0005075
                      9,                 1.1576,                0.86085,                 1.2167,                0.49487,                0.80123,                0.66777,                0.49786,                0.73525,                0.62409,                 1.0136,             0.00038375,             0.00038375,             0.00038375
                     10,                 1.1086,                0.80586,                 1.1927,                0.55452,                0.92593,                0.68951,                 0.5513,                0.71472,                0.60873,                 1.0022,                0.00026,                0.00026,                0.00026
